tax_id	Org_name	GeneID	CurrentID	Status	Symbol	Aliases	description	other_designations	map_location	chromosome	genomic_nucleotide_accession.version	start_position_on_the_genomic_accession	end_position_on_the_genomic_accession	orientation	exon_count	OMIM
9606	Homo sapiens	203228	0	live	C9orf72	ALSFTD, DENND9, DENNL72, FTDALS, FTDALS1	C9orf72-SMCR8 complex subunit	guanine nucleotide exchange factor C9orf72|guanine nucleotide exchange C9orf72|protein C9orf72	9p21.2	9	NC_000009.12	27546546	27573866	minus	12	614260
9606	Homo sapiens	6647	0	live	SOD1	ALS, ALS1, HEL-S-44, IPOA, SOD, STAHP, hSod1, homodimer	superoxide dismutase 1	superoxide dismutase [Cu-Zn]|Cu/Zn superoxide dismutase|SOD, soluble|epididymis secretory protein Li 44|indophenoloxidase A|superoxide dismutase 1, soluble|superoxide dismutase, cystolic	21q22.11	21	NC_000021.9	31659693	31668931	plus	5	147450
9606	Homo sapiens	23064	0	live	SETX	ALS4, AOA2, SCAN2, SCAR1, STEX, Sen1, bA479K20.2	senataxin	probable helicase senataxin|SEN1 homolog|amyotrophic lateral sclerosis 4 protein	9q34.13	9	NC_000009.12	132261356	132356744	minus	33	608465
9606	Homo sapiens	80208	0	live	SPG11	ALS5, CMT2X, KIAA1840	SPG11 vesicle trafficking associated, spatacsin	spatacsin|SPG11, spatacsin vesicle trafficking associated|amyotrophic lateral sclerosis 5|colorectal carcinoma-associated protein|spastic paraplegia 11 (autosomal recessive)|spastic paraplegia 11 protein	15q21.1	15	NC_000015.10	44562696	44663662	minus	42	610844
9606	Homo sapiens	57679	0	live	ALS2	ALS2CR6, ALSJ, IAHSP, PLSJ	alsin Rho guanine nucleotide exchange factor ALS2	alsin|ALS2, alsin Rho guanine nucleotide exchange factor|amyotrophic lateral sclerosis 2 (juvenile)|amyotrophic lateral sclerosis 2 chromosomal region candidate gene 6 protein|amyotrophic lateral sclerosis 2 protein	2q33.1	2	NC_000002.12	201700267	201780933	minus	38	606352
9606	Homo sapiens	109504728	0	live	LOC109504728		chromosome 9 open reading frame 72 repeat instability region	ALS/FTLD repeat instability region|C9orf72 repeat instability region|frontotemporal lobar degeneration with amyotrophic lateral sclerosis repeat instability region	9p21.2	9	NC_000009.12	27573485	27573546	plus	0	
9606	Homo sapiens	23435	0	live	TARDBP	ALS10, TDP-43	TAR DNA binding protein	TAR DNA-binding protein 43|TAR DNA-binding protein-43	1p36.22	1	NC_000001.11	11012654	11030528	plus	10	605078
9606	Homo sapiens	7415	0	live	VCP	CDC48, FTDALS6, TERA, p97	valosin containing protein	transitional endoplasmic reticulum ATPase|15S Mg(2+)-ATPase p97 subunit|TER ATPase	9p13.3	9	NC_000009.12	35056064	35072625	minus	17	601023
9606	Homo sapiens	2066	0	live	ERBB4	ALS19, HER4, p180erbB4	erb-b2 receptor tyrosine kinase 4	receptor tyrosine-protein kinase erbB-4|avian erythroblastic leukemia viral (v-erb-b2) oncogene homolog 4|human epidermal growth factor receptor 4|proto-oncogene-like protein c-ErbB-4|tyrosine kinase-type cell surface receptor HER4|v-erb-a erythroblastic leukemia viral oncogene homolog 4|v-erb-b2 avian erythroblastic leukemia viral oncogene homolog 4	2q34	2	NC_000002.12	211375717	212538802	minus	31	600543
9606	Homo sapiens	10133	0	live	OPTN	ALS12, FIP2, GLC1E, HIP7, HYPL, NRP, TFIIIA-INTP	optineurin	optineurin|E3-14.7K-interacting protein|FIP-2|HIP-7|Huntingtin interacting protein L|huntingtin yeast partner L|huntingtin-interacting protein 7|huntingtin-interacting protein L|nemo-related protein|optic neuropathy-inducing protein|transcription factor IIIA-interacting protein|transcrption factor IIIA-interacting protein|tumor necrosis factor alpha-inducible cellular protein containing leucine zipper domains	10p13	10	NC_000010.11	13100082	13138308	plus	16	602432
9606	Homo sapiens	2521	0	live	FUS	ALS6, ETM41, HNRNPP2, POMP75, TLS, altFUS, FUS	FUS RNA binding protein	RNA-binding protein FUS|75 kDa DNA-pairing protein|fus-like protein|fused in sarcoma|fusion gene in myxoid liposarcoma|heterogeneous nuclear ribonucleoprotein P2|oncogene FUS|oncogene TLS|translocated in liposarcoma protein	16p11.2	16	NC_000016.10	31180110	31194871	plus	15	137070
9606	Homo sapiens	8878	0	live	SQSTM1	A170, DMRV, EBIAP, FTDALS3, NADGP, OSIL, PDB3, ZIP3, p60, p62, p62B	sequestosome 1	sequestosome-1|EBI3-associated protein of 60 kDa|EBI3-associated protein p60|autophagy receptor p62|oxidative stress induced like|phosphotyrosine independent ligand for the Lck SH2 domain p62|phosphotyrosine-independent ligand for the Lck SH2 domain of 62 kDa|ubiquitin-binding protein p62	5q35.3	5	NC_000005.10	179806393	179838078	plus	11	601530
9606	Homo sapiens	7422	0	live	VEGFA	L-VEGF, MVCD1, VEGF, VPF	vascular endothelial growth factor A	vascular endothelial growth factor A, long form|vascular endothelial growth factor A121|vascular endothelial growth factor A165|vascular permeability factor	6p21.1	6	NC_000006.12	43770211	43786487	plus	9	192240
9606	Homo sapiens	348	0	live	APOE	AD2, APO-E, ApoE4, LDLCQ5, LPG	apolipoprotein E	apolipoprotein E|apolipoprotein E3	19q13.32	19	NC_000019.10	44905796	44909393	plus	6	107741
9606	Homo sapiens	23025	0	live	UNC13A	Munc13-1	unc-13 homolog A	protein unc-13 homolog A	19p13.11	19	NC_000019.10	17601336	17688354	minus	44	609894
9606	Homo sapiens	29978	0	live	UBQLN2	ALS15, CHAP1, DSK2, HRIHFB2157, N4BP4, PLIC2	ubiquilin 2	ubiquilin-2|Nedd4 binding protein 4|protein linking IAP with cytoskeleton 2|ubiquitin-like product Chap1/Dsk2	Xp11.21	X	NC_000023.11	56563627	56567868	plus	1	300264
9606	Homo sapiens	29110	0	live	TBK1	AIARV, FTDALS4, IIAE8, NAK, T2K	TANK binding kinase 1	serine/threonine-protein kinase TBK1|NF-kB-activating kinase|NF-kappa-B-activating kinase	12q14.2	12	NC_000012.12	64452120	64502114	plus	22	604834
9606	Homo sapiens	7157	0	live	TP53	BCC7, BMFS5, LFS1, P53, TRP53	tumor protein p53	cellular tumor antigen p53|antigen NY-CO-13|mutant tumor protein 53|phosphoprotein p53|transformation-related protein 53|tumor protein 53|tumor supressor p53	17p13.1	17	NC_000017.11	7668421	7687490	minus	13	191170
9606	Homo sapiens	4137	0	live	MAPT	DDPAC, FTD1, FTDP-17L, MSTD, MTBT1, MTBT2, PPND, PPP1R103, TAU, Tau-PHF6, tau-40, MAPT	microtubule associated protein tau	microtubule-associated protein tau|G protein beta1/gamma2 subunit-interacting factor 1|PHF-tau|Tau-derived paired helical filament hexapeptide|neurofibrillary tangle protein|paired helical filament-tau|protein phosphatase 1, regulatory subunit 103	17q21.31	17	NC_000017.11	45894554	46028334	plus	16	157140
9606	Homo sapiens	3178	0	live	HNRNPA1	ALS19, ALS20, HNRPA1, HNRPA1L3, IBMPFD3, MPD3, UP 1, hnRNP A1, hnRNP-A1	heterogeneous nuclear ribonucleoprotein A1	heterogeneous nuclear ribonucleoprotein A1|epididymis secretory sperm binding protein|helix-destabilizing protein|heterogeneous nuclear ribonucleoprotein A1B protein|heterogeneous nuclear ribonucleoprotein B2 protein|heterogeneous nuclear ribonucleoprotein core protein A1|hnRNP core protein A1-like 3|nuclear ribonucleoprotein particle A1 protein|putative heterogeneous nuclear ribonucleoprotein A1-like 3|single-strand DNA-binding protein UP1|single-strand RNA-binding protein	12q13.13	12	NC_000012.12	54280726	54287087	plus	12	164017
9606	Homo sapiens	65059	0	live	RAPH1	ALS2CR18, ALS2CR9, LPD, PREL-2, PREL2, RMO1, RalGDS/AF-6	Ras association (RalGDS/AF-6) and pleckstrin homology domains 1	ras-associated and pleckstrin homology domains-containing protein 1|amyotrophic lateral sclerosis 2 (juvenile) chromosome region, candidate 18|amyotrophic lateral sclerosis 2 (juvenile) chromosome region, candidate 9|lamellipodin|proline-rich EVH1 ligand 2	2q33.2	2	NC_000002.12	203433682	203535301	minus	21	609035
9606	Homo sapiens	283	0	live	ANG	ALS9, HEL168, RAA1, RNASE4, RNASE5	angiogenin	angiogenin|Homo sapiens epididymis luminal protein 168|RNase 5|angiogenin, ribonuclease, RNase A family, 5|epididymis luminal protein 168|ribonuclease 5|ribonuclease A A1|ribonuclease A family member 5	14q11.2	14	NC_000014.9	20684177	20694186	plus	4	105850
9606	Homo sapiens	5216	0	live	PFN1	ALS18	profilin 1	profilin-1|epididymis tissue protein Li 184a|profilin I	17p13.2	17	NC_000017.11	4945652	4948530	minus	3	176610
9606	Homo sapiens	7124	0	live	TNF	DIF, IMD127-alpha, TNFA, TNFSF2, TNLG1F, TNF	tumor necrosis factor	tumor necrosis factor|APC1 protein|TNF, macrophage-derived|TNF, monocyte-derived|TNF-a|tumor necrosis factor ligand 1F|tumor necrosis factor ligand superfamily member 2|tumor necrosis factor-alpha|tumor necrotic factor alpha	6p21.33	6	NC_000006.12	31575565	31578336	plus	4	191160
9606	Homo sapiens	1639	0	live	DCTN1	DAP-150, DP-150, HMND14, P135	dynactin subunit 1	dynactin subunit 1|150 kDa dynein-associated polypeptide|dynactin 1 (p150, glued homolog, Drosophila)	2p13.1	2	NC_000002.12	74361155	74391866	minus	32	601143
9606	Homo sapiens	3569	0	live	IL6	BSF-2, BSF2, CDF, HGF, HSF, IFN-beta-2, IFNB2, IL-6	interleukin 6	interleukin-6|B-cell differentiation factor|B-cell stimulatory factor 2|CTL differentiation factor|hybridoma growth factor|interferon beta-2|interleukin BSF-2	7p15.3	7	NC_000007.14	22727200	22731998	plus	5	147620
9606	Homo sapiens	79800	0	live	CARF	ALS2CR8, NYD-SP24	calcium responsive transcription factor	calcium-responsive transcription factor|amyotrophic lateral sclerosis 2 (juvenile) chromosome region, candidate 8|amyotrophic lateral sclerosis 2 chromosomal region candidate gene 8 protein|calcium-response factor|testis development protein NYD-SP24	2q33.2	2	NC_000002.12	202912275	202988263	plus	20	607586
9606	Homo sapiens	4524	0	live	MTHFR		methylenetetrahydrofolate reductase	methylenetetrahydrofolate reductase (NADPH)|5,10-methylenetetrahydrofolate reductase (NADPH)|methylenetetrahydrofolate reductase (NAD(P)H)	1p36.22	1	NC_000001.11	11785723	11805964	minus	13	607093
9606	Homo sapiens	6382	0	live	SDC1	CD138, SDC, SYND1, syndecan	syndecan 1	syndecan-1|CD138 antigen|heparan sulfate proteoglycan fibroblast growth factor receptor|syndecan proteoglycan 1	2p24.1	2	NC_000002.12	20200797	20225475	minus	9	186355
9606	Homo sapiens	4318	0	live	MMP9	CLG4B, GELB, MANDP2, MMP-9	matrix metallopeptidase 9	matrix metalloproteinase-9|macrophage gelatinase|matrix metallopeptidase 9 (gelatinase B, 92kDa gelatinase, 92kDa type IV collagenase)|matrix metalloproteinase 9 (gelatinase B, 92kDa gelatinase, 92kDa type IV collagenase)|type V collagenase	20q13.12	20	NC_000020.11	46008908	46016561	plus	13	120361
9606	Homo sapiens	351	0	live	APP	AAA, ABETA, ABPP, AD1I, CTFgamma, CVAP, PN-II, PN2, alpha-sAPP, preA4, APP	amyloid beta precursor protein	amyloid-beta precursor protein|alzheimer disease amyloid A4 protein homolog|alzheimer disease amyloid protein|amyloid beta (A4) precursor protein|amyloid beta A4 protein|amyloid precursor protein|beta-amyloid peptide|beta-amyloid peptide(1-40)|beta-amyloid peptide(1-42)|beta-amyloid precursor protein|cerebral vascular amyloid peptide|peptidase nexin-II|protease nexin-II|testicular tissue protein Li 2	21q21.3	21	NC_000021.9	25880550	26171128	minus	20	104760
9606	Homo sapiens	3091	0	live	HIF1A	HIF-1-alpha, HIF-1A, HIF-1alpha, HIF1, HIF1-ALPHA, MOP1, PASD8, bHLHe78	hypoxia inducible factor 1 subunit alpha	hypoxia-inducible factor 1-alpha|ARNT interacting protein|PAS domain-containing protein 8|basic-helix-loop-helix-PAS protein MOP1|class E basic helix-loop-helix protein 78|hypoxia inducible factor 1 alpha subunit|hypoxia inducible factor 1, alpha subunit (basic helix-loop-helix transcription factor)|hypoxia-inducible factor1alpha|member of PAS protein 1|member of PAS superfamily 1	14q23.2	14	NC_000014.9	61695513	61748258	plus	16	603348
9606	Homo sapiens	6622	0	live	SNCA	NACP, PARK1, PARK4, PD1	synuclein alpha	alpha-synuclein|I+/--synuclein|non A-beta component of AD amyloid|synuclein alpha-140|synuclein, alpha (non A4 component of amyloid precursor)	4q22.1	4	NC_000004.12	89724099	89838304	minus	12	163890
