tax_id	Org_name	GeneID	CurrentID	Status	Symbol	Aliases	description	other_designations	map_location	chromosome	genomic_nucleotide_accession.version	start_position_on_the_genomic_accession	end_position_on_the_genomic_accession	orientation	exon_count	OMIM
9606	Homo sapiens	2	0	live	A2M	A2MD, CPAMD5, FWP007, S863-7	alpha-2-macroglobulin	alpha-2-macroglobulin|C3 and PZP-like alpha-2-macroglobulin domain-containing protein 5|alpha-2-M	12p13.31	12	NC_000012.12	9067708	9116229	minus	37	103950
9606	Homo sapiens	22848	0	live	AAK1		AP2 associated kinase 1	AP2-associated protein kinase 1|adaptor-associated kinase 1|alternative protein AAK1	2p13.3	2	NC_000002.12	69457997	69643739	minus	22	616405
9606	Homo sapiens	207105	170534	secondary	AAOPD		Parkinson disease, age at onset of		1p	1						
9606	Homo sapiens	19	0	live	ABCA1	ABC-1, ABC1, CERP, HDLCQTL13, HDLDT1, HPALP1, TGD	ATP binding cassette subfamily A member 1	phospholipid-transporting ATPase ABCA1|ATP-binding cassette sub-family A member 1|ATP-binding cassette transporter A1|ATP-binding cassette, sub-family A (ABC1), member 1|cholesterol efflux regulatory protein|membrane-bound	9q31.1	9	NC_000009.12	104781006	104928155	minus	50	600046
9606	Homo sapiens	23461	0	live	ABCA5	ABC13, DEL17q24, EST90625, HTC3, HTGH	ATP binding cassette subfamily A member 5	cholesterol transporter ABCA5|ATP-binding cassette A5|ATP-binding cassette, sub-family A (ABC1), member 5	17q24.3	17	NC_000017.11	69244311	69327133	minus	39	612503
9606	Homo sapiens	10347	0	live	ABCA7	ABCA-SSN, ABCX, AD9	ATP binding cassette subfamily A member 7	phospholipid-transporting ATPase ABCA7|ATP-binding cassette sub-family A member 7|ATP-binding cassette, sub-family A (ABC1), member 7|autoantigen SS-N|macrophage ABC transporter	19p13.3	19	NC_000019.10	1040107	1065572	plus	48	605414
9606	Homo sapiens	5243	0	live	ABCB1	ABC20, CD243, CLCS, ENPAT, GP170, MDR1, P-GP, PGY1, p-170	ATP binding cassette subfamily B member 1	ATP-dependent translocase ABCB1|ATP-binding cassette, sub-family B (MDR/TAP), member 1|P-glycoprotein 1|colchicin sensitivity|doxorubicin resistance|multidrug resistance protein 1|phospholipid transporter ABCB1	7q21.12	7	NC_000007.14	87503017	87713295	minus	32	171050
9606	Homo sapiens	25	0	live	ABL1	ABL, BCR-ABL, CHDSKM, JTK7, bcr/abl, c-ABL, c-ABL1, p150, v-abl	ABL proto-oncogene 1, non-receptor tyrosine kinase	tyrosine-protein kinase ABL1|ABL protooncogene 1 nonreceptor tyrosine kinase|Abelson tyrosine-protein kinase 1|BCR-ABL1 p190|BCR/ABL e8a2 fusion|BCR/ABL1 e1a2 fusion protein|BCR/ABL1 fusion|bcr/c-abl oncogene protein|c-abl oncogene 1, receptor tyrosine kinase|chimeric BCR::ABL1 protein|proto-oncogene c-Abl|proto-oncogene tyrosine-protein kinase ABL1|v-abl Abelson murine leukemia viral oncogene homolog 1	9q34.12	9	NC_000009.12	130713043	130887675	plus	12	189980
9606	Homo sapiens	1636	0	live	ACE	ACE1, CD143, DCP, DCP1	angiotensin I converting enzyme	angiotensin-converting enzyme|CD143 antigen|angiotensin I converting enzyme (peptidyl-dipeptidase A) 1|carboxycathepsin|dipeptidyl carboxypeptidase 1|dipeptidyl carboxypeptidase I|kininase II|peptidase P	17q23.3	17	NC_000017.11	63477061	63498373	plus	26	106180
9606	Homo sapiens	43	0	live	ACHE	ACEE, ARACHE, N-ACHE, YT	acetylcholinesterase (Yt blood group)	acetylcholinesterase|Yt blood group|acetylcholinesterase (Cartwright blood group)|apoptosis-related acetylcholinesterase	7q22.1	7	NC_000007.14	100889994	100896994	minus	8	100740
9606	Homo sapiens	130013	0	live	ACMSD		aminocarboxymuconate semialdehyde decarboxylase	2-amino-3-carboxymuconate-6-semialdehyde decarboxylase|picolinate carboxylase	2q21.3	2	NC_000002.12	134838616	134902034	plus	13	608889
9606	Homo sapiens	50	0	live	ACO2	ACONM, HEL-S-284, ICRD, OCA8, OPA9	aconitase 2	aconitate hydratase, mitochondrial|aconitase 2, mitochondrial|citrate hydro-lyase|epididymis secretory sperm binding protein Li 284|mitochondrial aconitase	22q13.2	22	NC_000022.11	41469117	41528974	plus	18	100850
9606	Homo sapiens	102	0	live	ADAM10	AD10, AD18, CD156c, CDw156, HsT18717, MADM, RAK, kuz	ADAM metallopeptidase domain 10	disintegrin and metalloproteinase domain-containing protein 10|a disintegrin and metalloprotease domain 10|kuzbanian protein homolog|mammalian disintegrin-metalloprotease	15q21.3	15	NC_000015.10	58588809	58749707	minus	16	602192
9606	Homo sapiens	6868	0	live	ADAM17	ADAM18, CD156B, CSVP, NISBD, NISBD1, TACE	ADAM metallopeptidase domain 17	disintegrin and metalloproteinase domain-containing protein 17|ADAM metallopeptidase domain 18|TNF-alpha convertase|TNF-alpha convertase enzyme|TNF-alpha converting enzyme|a disintegrin and metalloproteinase 17|cartilage snake venom-like protease|snake venom-like protease|tumor necrosis factor, alpha, converting enzyme	2p25.1	2	NC_000002.12	9488486	9555830	minus	21	603639
9606	Homo sapiens	104	0	live	ADARB1	ADAR2, DRABA2, DRADA2, NEDHYMS, RED1	adenosine deaminase RNA specific B1	double-stranded RNA-specific editase 1|RNA editing deaminase 1|RNA-editing enzyme 1|adenosine deaminase, RNA-specific, B1 (homolog of rat RED1)|dsRNA adenosine deaminase DRADA2	21q22.3	21	NC_000021.9	45074578	45226563	plus	21	601218
9606	Homo sapiens	125	0	live	ADH1B	ADH2, HEL-S-117	alcohol dehydrogenase 1B (class I), beta polypeptide	all-trans-retinol dehydrogenase [NAD(+)] ADH1B|ADH, beta subunit|alcohol dehydrogenase 2 (class I), beta polypeptide|alcohol dehydrogenase subunit beta|aldehyde reductase|epididymis secretory protein Li 117	4q23	4	NC_000004.12	99304971	99321401	minus	10	103720
9606	Homo sapiens	126	0	live	ADH1C	ADH3	alcohol dehydrogenase 1C (class I), gamma polypeptide	alcohol dehydrogenase 1C|ADH, gamma subunit|alcohol dehydrogenase 3 (class I), gamma polypeptide|aldehyde reductase	4q23	4	NC_000004.12	99336497	99352746	minus	9	103730
9606	Homo sapiens	128	0	live	ADH5	ADH-3, ADHX, AMEDS, BMFS7, FALDH, FDH, GSH-FDH, GSNOR, HEL-S-60p	alcohol dehydrogenase 5 (class III), chi polypeptide	alcohol dehydrogenase class-3|S-(hydroxymethyl)glutathione dehydrogenase|S-nitrosoglutathione reductase|alcohol dehydrogenase (class III), chi polypeptide|alcohol dehydrogenase class chi chain|alcohol dehydrogenase class-III|epididymis secretory sperm binding protein Li 60p|formaldehyde dehydrogenase|glutathione-dependent formaldehyde dehydrogenase	4q23	4	NC_000004.12	99070978	99088788	minus	9	103710
9606	Homo sapiens	9370	0	live	ADIPOQ	ACDC, ACRP30, ADIPQTL1, ADPN, APM-1, APM1, GBP28	adiponectin, C1Q and collagen domain containing	adiponectin|30 kDa adipocyte complement-related protein|adipocyte complement-related 30 kDa protein|adipose most abundant gene transcript 1 protein|adipose specific collagen-like factor|gelatin-binding protein 28	3q27.3	3	NC_000003.12	186842710	186858463	plus	4	605441
9606	Homo sapiens	23394	0	live	ADNP	ADNP1, HVDAS, MRD28	activity dependent neuroprotector homeobox	activity-dependent neuroprotector homeobox protein|ADNP homeobox 1|activity-dependent neuroprotective protein|activity-dependent neuroprotector	20q13.13	20	NC_000020.11	50888918	50931437	minus	8	611386
9606	Homo sapiens	134	0	live	ADORA1	RDC7	adenosine A1 receptor	adenosine receptor A1	1q32.1	1	NC_000001.11	203127726	203167405	plus	4	102775
9606	Homo sapiens	135	0	live	ADORA2A	A2aR, ADORA2, RDC8	adenosine A2a receptor	adenosine receptor A2a|adenosine receptor subtype A2a	22q11.23	22	NC_000022.11	24423597	24442357	plus	6	102776
9606	Homo sapiens	154	0	live	ADRB2	ADRB2R, ADRBR, ARB2, B2AR, BAR, BETA2AR	adrenoceptor beta 2	beta-2 adrenergic receptor|adrenergic, beta-2-, receptor, surface|adrenoceptor beta 2 surface|beta-2 adrenoceptor|beta-2 adrenoreceptor|catecholamine receptor	5q32	5	NC_000005.10	148826611	148828623	plus	1	109690
9606	Homo sapiens	4301	0	live	AFDN	AF6, MLL-AF6, MLLT4, l-afadin	afadin, adherens junction formation factor	"afadin|ALL1-fused gene from chromosome 6 protein|myeloid/lymphoid or mixed-lineage leukemia (trithorax homolog, Drosophila); translocated to, 4|myeloid/lymphoid or mixed-lineage leukemia; translocated to, 4|protein AF-6"	6q27	6	NC_000006.12	167826564	167972023	plus	35	159559
9606	Homo sapiens	177	0	live	AGER	RAGE, SCARJ1, sRAGE	advanced glycosylation end-product specific receptor	advanced glycosylation end product-specific receptor|receptor for advanced glycation end-products	6p21.32	6	NC_000006.12	32180969	32184253	minus	10	600214
9606	Homo sapiens	27161	0	live	AGO2	CASC7, EIF2C2, LESKRES, LINC00980, PPD, Q10	argonaute RISC catalytic component 2	protein argonaute-2|PAZ Piwi domain protein|argonaute 2, RISC catalytic component|cancer susceptibility candidate 7 (non-protein coding)|eukaryotic translation initiation factor 2C, 2|long intergenic non-protein coding RNA 980|protein slicer	8q24.3	8	NC_000008.11	140520156	140642313	minus	23	606229
9606	Homo sapiens	197	0	live	AHSG	A2HS, AHS, APMR1, FETUA, HSGA	alpha 2-HS glycoprotein	alpha-2-HS-glycoprotein|alpha-2-Z-globulin|ba-alpha-2-glycoprotein|fetuin-A	3q27.3	3	NC_000003.12	186613060	186621318	plus	7	138680
9606	Homo sapiens	7965	0	live	AIMP2	HLD17, JTV-1, JTV1, P38	aminoacyl tRNA synthetase complex interacting multifunctional protein 2	aminoacyl tRNA synthase complex-interacting multifunctional protein 2|ARS-interacting multi-functional protein 2|multisynthase complex auxiliary component p38|multisynthetase complex auxiliary component p38|protein JTV-1	7p22.1	7	NC_000007.14	6009272	6023834	plus	9	600859
9606	Homo sapiens	207	0	live	AKT1	AKT, PKB, PKB-ALPHA, PRKBA, RAC, RAC-ALPHA	AKT serine/threonine kinase 1	RAC-alpha serine/threonine-protein kinase|AKT1m|PKB alpha|RAC-PK-alpha|protein kinase B alpha|proto-oncogene c-Akt|rac protein kinase alpha|serine-threonine protein kinase|v-akt murine thymoma viral oncogene homolog 1|v-akt murine thymoma viral oncogene-like protein 1	14q32.33	14	NC_000014.9	104769349	104795748	minus	17	164730
9606	Homo sapiens	213	0	live	ALB	FDAHT, HSA, PRO0883, PRO0903, PRO1341	albumin	albumin|serum albumin	4q13.3	4	NC_000004.12	73404287	73421482	plus	15	103600
9606	Homo sapiens	216	0	live	ALDH1A1	ALDC, ALDH-E1, ALDH1, ALDH11, HEL-9, HEL-S-53e, HEL12, PUMB1, RALDH1	aldehyde dehydrogenase 1 family member A1	aldehyde dehydrogenase 1A1|3-deoxyglucosone dehydrogenase|ALDH class 1|ALHDII|RALDH 1|acetaldehyde dehydrogenase 1|aldehyde dehydrogenase 1, soluble|aldehyde dehydrogenase, liver cytosolic|epididymis luminal protein 12|epididymis luminal protein 9|epididymis secretory sperm binding protein Li 53e|retinal dehydrogenase 1|retinaldehyde dehydrogenase 1	9q21.13	9	NC_000009.12	72900671	72953053	minus	13	100640
9606	Homo sapiens	217	0	live	ALDH2	ALDH-E2, ALDHI, ALDM	aldehyde dehydrogenase 2 family member	aldehyde dehydrogenase, mitochondrial|ALDH class 2|acetaldehyde dehydrogenase 2|aldehyde dehydrogenase 2 family (mitochondrial)|epididymis secretory sperm binding protein|liver mitochondrial ALDH|nucleus-encoded mitochondrial aldehyde dehydrogenase 2	12q24.12	12	NC_000012.12	111766933	111817532	plus	13	100650
